Year,Pos,Name,Club,Time,Cat
1996,47,P Forte,Dundee Hawkhill Harriers,3:34:55,MV
1996,48,W Hunter,Lothian & Borders Pd,3:34:58,MV
1996,49,Douglas Milligan,Solway Running Club,3:35:03,MS
1996,50,Brian Howie,City Of Edinburgh,3:35:42,MV
1996,51,Damian Theaker,Helensburgh Athletic Club,3:35:57,M
1996,52,R Bell,Ambleside Athletic Club,3:36:13,MS
1996,53,J Paxton,Gala Harriers,3:36:41,MV
1996,54,Murdo MacLeod,Westerlands,3:37:05,MV
1996,55,J Salvona,Livingston and District Athletic Club,3:37:30,FV
1996,56,Archie Cameron,Westerlands,3:37:48,MV
1996,57,Brian Bonnyman,Westerlands,3:37:59,M
1996,58,Matt Ogston,Westerlands,3:39:26,M
1996,59,E Gowrie,Carnethy HRC,3:40:21,MV
1996,60,Bill Gauld,Carnethy HRC,3:40:30,MS
1996,60,Willie Mykura,Carnethy HRC,3:43:48,M
1996,61,I Wallace,Hunters Bog Trotters,3:40:56,M
1996,62,C Ritchie,Westerlands,3:41:01,MS
1996,63,E Moody,Wcoc,3:41:03,F
1996,64,Debbie MacDonald,Hunters Bog Trotters,3:41:20,F
1996,65,S Bostock,Weeton Harriers,3:41:25,M
1996,66,J Brown,Belfast Arf,3:42:55,M
1996,67,I Hughes,Ochil Hill Runners,3:43:23,MV
1996,69,S Tedcastle,Perth Road Runners,3:44:00,MV
1996,70,C Cramer,Perth Road Runners,3:45:41,F
1996,71,J Littlewood,Carnethy HRC,3:46:29,MS
1996,72,C Beadle,Holmfirth Harriers,3:47:28,M
1996,73,A Stempczyk,Falkirv Victoria Har,3:47:33,MV
1996,74,P Baxter,Westerlands,3:47:49,M
1996,75,J McWhinnie,Carnethy HRC,3:47:52,M
1996,76,R Thomas,Hunters Bog Trotters,3:47:59,MV
1996,77,B Jackson,Clayton Le-moors Harriers,3:48:23,MV
1996,78,R Griffiths,Holmfirth Harriers,3:49:03,MV
1996,79,R Tavendale,Dundee Hawkhill Harriers,3:51:08,MV
1996,80,D Gribbin,,3:52:15,MV
1996,81,K Tory,,3:53:00,M
1996,82,J McGregor,Dundee Hawkhill Harriers,3:53:31,MV
1996,83,Nigel Rose,Carnethy HRC,3:53:41,MS
1996,84,A Phillip,Perth Drienteers,3:53:52,MV
1996,85,E Lardner,,3:54:22,M
1996,86,D Nicholson,Preston Harriers,3:54:38,MV
1996,87,L Anderson,Fife Athletic Club,3:54:59,M
1996,88,Kate Jenkins,Carnethy HRC,3:55:05,F
1996,89,Helene Diamantides,Westerlands,3:57:37,F
1996,90,? Robertson,Westerlands,3:57:38,F
1996,91,E Scott,Westerlands,3:57:39,F
1996,92,A Campbell,Westerlands,3:57:46,MV
1996,93,David Adams,Hamilton Harrers,3:59:34,M40
1996,94,J Howard,Preston Harriers,4:00:06,MS
1996,95,D Thomson,Hardley Runners,4:00:23,FV
1996,96,H Spenceley,Carnethy HRC,4:03:43,FV
1996,97,J Page,Holmfirth Harriers,4:04:42,MV
1996,98,Trevor Collins,Carnethy HRC,4:05:07,MV
1996,99,Fâ€™ MacDonald,Help,4:07:44,MV
1996,100,C Hall,Road Runwers Club,4:08:42,MV
1996,101,M Paxton,Perth Strathtay Harriers,4:13:32,MV
1996,102,M Stewart,Carnethy HRC,4:13:54,FV
1996,103,J Wilson,,4:14:10,MV
1996,104,P Brownsort,,4:15:08,M
1996,105,R Howarth,Holmfirth Harriers,4:17:37,M
1996,107,W Howarth,Denby Dale Traveller,4:17:45,MV
1996,108,S Connor,,4:17:46,M
1996,109,M MacLachlan,Carnethy HRC,4:18:02,MV
1996,110,Drew Turnbull,East Kilbride Athletic Club,4:18:11,M50
1996,111,E Blackburn,,4:22:18,F
1996,112,P Webb,,4:26:45,MV
1996,113,I Coombes,Westerlands,4:28:46,FV
1996,114,L Wanless,Westerlands,4:28:47,F
1996,115,I Gunn,City Of Edinburgh,4:28:48,M
1996,116,J Mitchell,Sale Harriers,4:29:25,MV
1996,117,R Barrett,,4:30:36,M
1996,118,I Orr,,4:33:50,M
1996,119,R Barnes,,4:33:51,M
1996,120,Frank Cation,Fife Athletic Club,4:36:19,MV
1996,121,I Struthers,Westerlands,4:37:27,MV
1996,122,J Stevenson,Tinto Orienteers,4:38:53,M
1996,123,Don Adam,Fife Athletic Club,4:44:04,M
1996,124,F McLaren,Fife Athletic Club,4:44:05,MV
1996,125,Richard Adams,Norham Running Club,4:44:34,M40
1996,126,R Wall,Hunters Bog Trotters,4:45:42,MV
1996,127,C Lane,,4:53:30,MS
1996,128,J Wilkins,Arbroath Footers,4:58:24,MS
1996,129,J Bell,Westerlands,4:58:35,MS
1996,130,1 Schierloh,Carnethy HRC,5:00:17,FV
1996,131,N Schierlon,Carnethy HRC,5:00:18,MV
1996,132,S Sinnoti,,5:11:52,M
1996,133,I Armstrong,,5:43:30,M
